timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
42845105443,0,0,2,2,9,-1,-2,-2
42845120533,0,-1,-2,-4,-3,-2,1,-1
42845120533,1,1,2,4,19,0,0,-1
42845127960,-2,-2,-2,-5,-19,3,-1,0
42845127960,0,-2,1,-6,0,-3,0,0
42845143589,-1,0,-1,11,4,-2,-1,0
42845143589,-2,-2,-1,-4,-4,0,-3,-2
42845144388,-1,-2,0,-7,-12,-7,1,-1
42845144388,-2,0,-2,-3,-10,2,-1,0
42845157923,0,0,0,1,11,3,2,-1
42845157923,0,-1,-1,-1,8,-2,2,0
42845165443,1,-2,-2,0,1,2,-3,1
42845165443,1,-1,-1,4,11,7,-2,2
42845180554,-2,-3,-2,-12,-31,-4,-1,0
42845180554,-1,1,1,5,-2,-5,1,-1
42845188007,0,-1,-1,-4,1,6,1,0
42845188007,-3,-3,1,5,5,-2,1,-1
42845203620,2,0,-2,-3,-7,-3,-2,-2
42845203620,-2,-1,1,2,5,0,0,-1
42845204417,0,1,1,4,2,-6,-2,0
42845204417,-1,2,0,3,15,1,-1,-1
42845226283,-3,-3,-3,-9,-36,-13,-4,-2
42845226283,0,0,2,-4,3,-3,0,1
42845226876,1,0,1,1,36,3,0,-2
42845226876,2,-2,1,15,-7,-2,-1,-1
42845240489,-2,-1,-2,3,9,2,-2,-1
42845240489,-3,-2,-2,-8,-31,-2,-2,0
42845256152,-2,-1,-3,-7,-12,-1,-1,0
42845256152,1,0,-2,-3,10,0,1,1
42845263621,-1,-1,0,7,-2,3,0,0
42845263621,-1,-1,-2,-7,5,-5,-1,-1
42845264421,-2,0,3,21,30,3,1,2
42845264421,-2,0,-4,-17,-27,1,0,-4
42845277905,0,0,3,11,18,-3,4,1
42845277905,-1,-2,-1,-7,2,2,-2,-3
42845285509,2,-2,0,3,-6,-2,-3,-2
42845285509,-1,0,-2,3,-3,-4,-1,-1
42845300463,-2,-1,-1,-11,3,4,-2,2
42845300463,1,-1,-3,3,3,0,2,0
42845307938,-1,-2,-5,-1,-23,-5,-1,0
42845307938,0,-2,1,-8,8,2,0,0
42845331969,-1,0,-1,-12,-3,1,-3,-3
42845331969,-3,-2,-1,12,-2,-2,-2,0
42845332754,-2,-1,-2,-9,-17,-2,0,-3
42845332754,-2,-1,-1,-1,-1,-2,0,2
42845338011,0,-1,-2,-11,-9,-3,0,-1
42845338011,1,2,0,-3,6,2,0,0
42845345462,0,-4,-3,0,-6,4,-1,0
42845345462,-1,-2,-1,1,-23,-5,-2,-2
42845361971,0,-2,-1,7,33,6,1,-1
42845361971,-2,0,-2,-7,-8,0,3,0
42845368113,-1,1,0,-1,2,-1,2,-1
42845368113,1,-1,1,4,1,1,-3,-1
42845383781,-1,0,-1,-1,-12,-14,0,1
42845383781,1,1,2,-7,-1,1,-1,-1
42845384547,-1,1,1,6,-12,4,5,0
42845384547,-1,-1,-5,5,16,-3,0,3
42845397958,0,1,0,-1,-9,-1,-4,-4
42845397958,-3,-4,-4,-13,-4,0,-3,-1
42845405464,0,-1,0,1,4,-3,-1,-1
42845405464,-3,0,0,6,1,-1,-1,-2
42845420606,-2,-4,-3,-9,-7,-1,-1,-1
42845420606,2,2,1,17,23,-2,2,3
42845427971,-2,-3,-1,-10,1,0,-1,-2
42845427971,1,0,-1,2,0,-4,0,-1
42845443623,0,0,0,-3,9,2,-1,-3
42845443623,1,-1,1,7,9,-1,-2,-1
42845444428,0,-1,-3,1,-11,-1,-3,-1
42845444428,-2,1,2,-4,12,-1,-1,3
42845457974,-1,-3,-1,3,-1,5,-1,0
42845457974,-2,-2,-1,-20,-13,-2,-1,-3
42845465456,-1,0,0,16,-4,1,0,1
42845465456,0,-1,-2,7,12,0,0,-3
42845480656,1,1,1,0,-4,3,0,1
42845480656,-1,-2,-4,-5,-13,-3,-2,-3
42845496829,-3,-1,0,-5,1,-1,-3,-1
42845496829,-2,1,1,-2,-14,0,-1,-2
42845503613,-1,-1,-5,-5,14,-2,2,0
42845503613,-3,-2,-1,8,-8,-1,-2,-2
42845504411,0,1,1,-8,17,-2,-2,-1
42845504411,-1,-1,-2,2,-21,3,-1,-2
42845517944,-1,1,-2,0,4,2,-1,-1
42845517944,-3,-2,-1,2,11,0,-3,0
42845525545,-2,0,0,-3,-6,0,0,0
42845525545,3,0,2,-9,19,-4,-1,0
42845540482,0,-1,1,4,17,1,-1,-3
42845540482,0,1,2,-21,-1,1,2,-1
42845547962,1,0,0,22,-1,-2,-2,-4
42845547962,-3,-2,-2,-3,-2,-2,0,-2
42845563601,-1,0,0,3,10,-4,2,3
42845563601,0,0,0,4,-22,1,0,-1
42845564412,2,0,-2,-10,3,-2,1,1
42845564412,-1,-3,-2,-1,-20,-1,-1,-1
42845577963,0,1,0,-1,11,1,-1,2
42845577963,-1,0,-1,5,11,3,0,-1
42845585535,2,-1,-2,-8,2,-5,1,0
42845585535,-1,-2,-1,-2,8,3,4,0
42845601974,0,-3,-1,0,-1,3,0,1
42845601974,1,-2,1,-10,-20,-6,1,0
42845608645,-1,2,3,-2,5,4,-1,0
42845608645,0,-1,-2,16,10,-2,-2,-2
42845623781,-3,0,-2,9,-18,-1,0,-2
42845623781,0,0,-1,9,11,0,0,1
42845624588,0,-1,0,-7,-8,1,-1,1
42845624588,-1,-1,-3,-7,2,1,-2,-1
42845639508,1,0,3,-1,-5,0,0,-2
42845639508,-1,-1,-4,4,-12,-2,-3,0
42845645456,-2,-4,-3,-6,-7,-3,-1,-1
42845645456,-1,-1,1,-1,-12,0,-2,-2
42845660492,-1,1,-3,-4,-8,-3,-1,-1
42845660492,0,0,0,5,34,3,1,2
42845668738,0,-2,-1,3,-6,-14,1,-1
42845668738,-2,0,3,-3,7,-3,0,0
42845683847,1,0,-4,-2,-5,-4,1,-3
42845683847,0,1,-1,-1,0,1,-2,0
42845684500,-3,-1,-3,7,-9,2,0,0
42845684500,-1,-1,-2,-6,-18,-1,1,1
42845706144,-1,-1,5,-3,7,-3,-1,-1
42845706144,-1,-3,-1,-7,-25,0,1,-4
42845706947,1,2,-3,2,32,2,-1,0
42845706947,0,3,4,0,-4,-8,-2,-1
42845720593,-2,0,-3,-13,-33,-1,0,1
42845720593,1,3,3,16,54,8,1,2
42845728686,-1,-3,-3,-13,-37,-9,-1,-3
42845728686,1,0,-1,5,20,11,0,1
42845742998,-2,-2,-1,-6,0,-1,-1,0
42845742998,-1,-2,0,10,-18,-2,-2,-1
42845751141,0,-2,-2,-6,10,4,-3,-2
42845751141,1,-2,-2,-3,-9,0,1,-1
42845757996,0,0,2,3,13,8,-1,1
42845757996,-3,-3,-6,2,-22,-1,-2,-4
42845765504,-1,4,5,2,25,6,-2,0
42845765504,-1,0,-2,-2,-17,-8,-4,-1
42845780619,1,-1,-1,-3,9,2,-2,1
42845780619,-3,-2,-2,-5,-9,0,0,-1
42845788049,-1,-2,0,6,24,-2,0,1
42845788049,-2,-1,-4,-9,-18,4,-1,-1
42845811812,0,0,3,9,1,0,1,1
42845811812,0,-2,0,-8,-18,-6,-5,-2
42845812620,0,-1,-2,-1,2,6,2,2
42845812620,1,-2,-3,-12,1,-1,2,-1
42845818064,0,-2,-1,23,39,2,0,0
42845818064,0,1,-2,-15,-27,-5,-1,-1
42845825566,-2,-2,0,4,-25,9,-2,-4
42845825566,0,-1,1,-19,-2,-11,-3,0
42845848698,-1,-1,-4,-10,6,-1,-5,-3
42845848698,0,1,2,19,8,-5,-1,0
42845849471,-3,-3,-2,-1,6,-3,2,-2
42845849471,0,-1,0,7,13,6,0,0
42845871988,-1,-2,-3,-1,-11,-6,1,-2
42845871988,0,-2,-3,-23,7,-4,-2,-2
42845872594,0,-2,-1,3,-38,-2,-1,-2
42845872594,-2,0,2,16,39,6,3,0
42845886256,-1,-1,-2,-17,-6,2,2,0
42845886256,0,0,-1,-4,-6,1,-3,-1
42845886973,0,1,-1,21,0,-9,2,2
42845886973,-2,-2,-1,1,-6,-5,0,-1
42845900489,0,1,0,18,7,2,-2,1
42845900489,0,1,-2,-8,-12,-4,1,1
42845916217,3,3,-1,-39,-43,2,1,1
42845916217,4,6,7,49,71,3,-4,4
42845922987,-2,-3,-9,-19,-10,-3,-3,-1
42845922987,-3,0,1,5,-15,1,1,1
42845931330,-2,0,2,20,23,3,-1,0
42845931330,0,-3,-5,-34,-43,-7,-1,-2
42845954350,1,1,3,43,4,2,0,-2
42845954350,0,-2,-2,-11,25,0,1,1
42845955121,-4,-2,-2,-8,-42,-2,-2,-3
42845955121,-4,-3,-6,-27,-9,1,-2,-1
42845960457,0,-1,1,43,26,0,1,1
42845960457,-1,-3,-2,2,8,-1,1,-2
42845968158,-1,0,1,-11,-21,-6,0,0
42845968158,-1,0,-3,-3,-13,3,-2,0
42845983127,-1,-2,0,-17,1,-14,-1,0
42845983127,0,1,-2,-2,-5,1,0,4
42845991212,1,0,1,9,36,-1,-1,0
42845991212,-1,-5,-3,-21,-23,4,-2,-4
42846006124,0,0,-1,3,14,0,-1,-2
42846006124,-2,-2,-4,-24,-27,1,-1,-2
42846006920,-1,0,-1,17,12,-2,-1,0
42846006920,5,-2,-5,-17,-49,-7,-2,-1
42846020533,-7,0,3,17,58,6,2,2
42846020533,-1,0,4,8,-25,-2,-2,-1
42846028728,0,-3,-5,-51,-22,-4,-1,1
42846028728,2,4,1,39,18,-4,4,1
42846043500,4,2,1,-2,-1,1,0,0
42846043500,-1,0,-1,6,42,4,0,-1
42846051162,-5,-3,-2,-18,-36,-4,-2,-5
42846051162,-2,-2,1,0,39,1,0,-4
42846066127,1,-4,-4,-20,-52,-4,-1,5
42846066127,-5,-3,-2,8,17,1,-1,-1
42846067031,1,-1,-3,2,6,2,-2,-1
42846067031,-2,-1,4,17,-14,2,2,-1
42846080602,3,3,4,-8,-22,-9,3,5
