timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
44818358934,20,1,-2,5,2,1,66,23
44818358934,3,-7,-15,-7,-5,8,1,-11
44818366446,2,-1,2,2,4,2,-16,5
44818366446,-8,-6,-11,-5,-4,-12,-11,-12
44818381348,-14,0,0,1,0,2,-15,-15
44818381348,-11,4,3,6,1,12,25,11
44818390322,21,-4,-6,-4,-3,-9,-9,13
44818390322,10,0,1,0,-1,12,5,-6
44818396455,5,-3,5,4,5,-4,-7,7
44818396455,1,1,3,-5,-6,-11,1,0
44818412058,-5,0,6,1,0,-3,-13,-6
44818412058,-8,-5,-3,-8,-12,-9,15,-5
44818418941,-1,-8,9,3,8,9,3,-13
44818418941,13,-11,-11,-2,-7,-5,-12,6
44818426323,-10,1,-6,1,-3,-2,-8,-15
44818426323,2,1,-8,-1,0,8,19,18
44818441318,-4,-3,-7,-2,-7,0,-9,-21
44818441318,-7,7,0,-3,2,-5,-14,-10
44818449474,0,1,0,2,2,9,-1,2
44818449474,12,-4,-5,1,2,4,11,6
44818456306,0,1,-4,-3,-4,-10,-28,6
44818456306,-6,1,6,5,1,1,4,1
44818471922,16,0,2,-4,-1,-9,12,6
44818471922,1,2,4,-1,-2,0,-3,-2
44818478754,1,6,10,2,1,1,-4,3
44818478754,-1,-4,2,0,2,-4,5,-3
44818494496,2,-2,1,-1,-3,3,4,-5
44818494496,-14,1,0,6,3,9,7,5
44818501296,5,-2,-8,-3,-3,1,-13,-7
44818501296,10,3,-3,-2,-2,-9,7,5
44818509463,-20,-2,6,3,2,1,-10,-1
44818509463,4,2,1,1,3,5,30,12
44818516270,0,1,-6,0,-2,7,-23,2
44818516270,5,-3,-6,-4,-2,-11,18,1
44818532868,-2,1,-5,0,-3,5,-25,-13
44818532868,1,3,2,-2,0,-6,15,-8
44818538801,-11,0,-3,-2,-1,-1,-2,-1
44818538801,-2,4,1,-1,-6,-9,-11,-7
44818555782,7,-3,2,2,4,-2,1,1
44818555782,5,-1,-2,-5,-4,-3,12,4
44818561285,0,0,-2,1,2,9,-24,-7
44818561285,-6,-3,-2,-4,-4,-3,20,-10
44818570323,3,-4,-8,-1,-2,3,6,6
44818570323,-2,9,6,1,1,-2,-14,-9
44818576286,-8,-4,1,0,1,-2,7,-3
44818576286,5,5,0,-1,-3,1,3,9
44818592813,-2,-2,-3,-1,-3,4,1,-1
44818592813,-8,3,-7,0,-2,-8,-8,-1
44818598774,5,1,-3,-4,-4,-13,-14,3
44818598774,-8,1,2,3,4,7,11,-5
44818615290,-13,-2,-3,-4,-6,0,5,-20
44818615290,23,4,1,3,3,7,21,30
44818621315,-4,-2,10,3,-2,6,-14,1
44818621315,6,-5,-11,1,0,-11,0,12
44818630310,-4,0,3,-1,4,-1,3,6
44818630310,-12,-11,-6,-3,-1,-8,-6,-9
44818636298,-3,2,-4,-4,1,-2,15,-4
44818636298,-2,-2,1,1,1,8,-13,-3
44818652809,-3,0,-5,1,-5,1,0,2
44818652809,3,-7,1,-2,-2,-3,-23,-10
44818658782,12,-3,-1,1,2,-2,29,15
44818658782,-3,4,3,0,0,10,-18,-3
44818675335,-4,-4,0,-2,-6,-4,-15,2
44818675335,-7,-3,3,-1,0,5,19,-10
44818681264,15,2,-3,1,3,1,-3,10
44818681264,-6,-3,-3,-2,-1,-2,-3,1
44818690294,5,0,2,0,1,1,3,0
44818690294,-10,0,7,-2,0,-15,-5,5
44818696304,-10,-2,-1,-1,-2,7,4,-12
44818696304,2,-8,-2,0,1,-2,-7,-1
44818713288,4,-1,1,1,-1,-4,1,7
44818713288,3,-1,-8,-2,-6,-1,-10,-1
44818718806,-3,8,-4,-3,1,-11,12,0
44818718806,1,1,4,0,-3,7,0,-4
