timestamp,x,y,z,w
32912347239,-0.159302,-0.155701,0.207764,0.952454
32912370006,-0.159302,-0.155701,0.207764,0.952454
32912393003,-0.159302,-0.155701,0.207764,0.952454
32912408648,-0.159119,-0.155701,0.207764,0.952515
32912430133,-0.158875,-0.15564,0.207764,0.952515
32912452863,-0.158875,-0.155579,0.207764,0.952515
32912499532,-0.159058,-0.155701,0.207703,0.952515
32912501443,-0.159058,-0.155701,0.207703,0.952515
32912513640,-0.159058,-0.155701,0.207703,0.952515
32912531605,-0.159058,-0.155701,0.207703,0.952515
32912551530,-0.159058,-0.155701,0.207703,0.952515
32912580708,-0.159119,-0.155701,0.207703,0.952515
32912624824,-0.159119,-0.155701,0.207703,0.952515
32912635105,-0.159058,-0.155701,0.207703,0.952515
32912635743,-0.159058,-0.155701,0.207703,0.952515
32912648722,-0.159058,-0.155701,0.207703,0.952515
32912669952,-0.159058,-0.155701,0.207703,0.952515
32912686308,-0.159058,-0.155701,0.207703,0.952515
32912710450,-0.159119,-0.155701,0.207703,0.952515
32912729877,-0.159119,-0.155701,0.207703,0.952515
32912747909,-0.159119,-0.155701,0.207703,0.952515
32912770456,-0.159119,-0.155701,0.207703,0.952515
32912789931,-0.159119,-0.155701,0.207703,0.952515
32912807909,-0.159058,-0.155701,0.207703,0.952515
32912830413,-0.159058,-0.155701,0.207703,0.952515
32912849917,-0.159363,-0.155823,0.207703,0.952454
32912867919,-0.159363,-0.155823,0.207703,0.952454
32912890334,-0.159363,-0.155823,0.207703,0.952454
32912909986,-0.159424,-0.155823,0.207703,0.952393
32912927869,-0.159363,-0.155823,0.207703,0.952454
32912950465,-0.159363,-0.155823,0.207703,0.952393
32912969847,-0.159363,-0.155823,0.207703,0.952454
32912995454,-0.159363,-0.155823,0.207703,0.952454
32913010346,-0.159363,-0.155823,0.207703,0.952393
32913029901,-0.159424,-0.155823,0.207703,0.952393
32913047769,-0.159424,-0.155884,0.207703,0.952393
32913070342,-0.159424,-0.155884,0.207703,0.952393
32913091467,-0.159424,-0.155884,0.207703,0.952393
32913107957,-0.159424,-0.155884,0.207703,0.952393
32913130453,-0.159424,-0.155884,0.207703,0.952393
32913151248,-0.159424,-0.155884,0.207703,0.952393
32913167749,-0.159424,-0.155823,0.207703,0.952393
32913190454,-0.159424,-0.155884,0.207703,0.952393
32913210638,-0.159424,-0.155884,0.207703,0.952393
32913227114,-0.159424,-0.155884,0.207703,0.952393
32913249521,-0.159424,-0.155884,0.207703,0.952393
32913272131,-0.159424,-0.155884,0.207703,0.952393
32913286977,-0.159424,-0.155884,0.207703,0.952393
32913309579,-0.159729,-0.155945,0.207764,0.952332
32913330514,-0.159729,-0.155945,0.207764,0.952332
32913346945,-0.159729,-0.155945,0.207764,0.952332
32913369633,-0.159729,-0.155945,0.207764,0.952332
32913390691,-0.159729,-0.155945,0.207764,0.952332
32913407050,-0.159729,-0.155945,0.207764,0.952332
32913429551,-0.159729,-0.155945,0.207764,0.952332
32913450698,-0.159729,-0.156006,0.207764,0.952332
32913466949,-0.159729,-0.156006,0.207764,0.952332
32913489491,-0.159729,-0.156006,0.207764,0.952332
32913512023,-0.15979,-0.156006,0.207764,0.952332
32913527089,-0.15979,-0.155945,0.207764,0.952332
32913549464,-0.15979,-0.155945,0.207764,0.952332
32913571927,-0.15979,-0.156006,0.207764,0.952332
32913586961,-0.15979,-0.156006,0.207764,0.952332
32913615489,-0.159851,-0.156006,0.207764,0.952332
32913632011,-0.159851,-0.156006,0.207764,0.952332
32913654526,-0.159851,-0.156006,0.207764,0.952332
32913675592,-0.15979,-0.156006,0.207703,0.952332
32913691991,-0.159424,-0.155762,0.207764,0.952393
32913714525,-0.159424,-0.155762,0.207764,0.952393
32913735633,-0.159424,-0.155762,0.207764,0.952393
32913752019,-0.159241,-0.155762,0.207764,0.952454
32913774548,-0.159302,-0.155823,0.207764,0.952454
32913795734,-0.159302,-0.155823,0.207764,0.952454
32913812007,-0.159302,-0.155823,0.207764,0.952454
32913834493,-0.159302,-0.155823,0.207764,0.952454
32913855675,-0.159241,-0.155823,0.207764,0.952454
32913872050,-0.159302,-0.155823,0.207764,0.952454
32913894565,-0.159302,-0.155823,0.207764,0.952454
32913915773,-0.159302,-0.155823,0.207764,0.952454
32913931998,-0.159241,-0.155823,0.207764,0.952454
32913954510,-0.159241,-0.155823,0.207764,0.952454
32913975677,-0.159302,-0.155823,0.207764,0.952454
32913992019,-0.159302,-0.155823,0.207764,0.952454
32914014454,-0.159241,-0.155823,0.207764,0.952454
32914036983,-0.159241,-0.155823,0.207764,0.952454
32914052059,-0.159241,-0.155823,0.207764,0.952454
32914074546,-0.159302,-0.155823,0.207764,0.952454
32914097019,-0.159424,-0.155884,0.207703,0.952393
32914112074,-0.159851,-0.156006,0.207703,0.952332
32914134546,-0.160217,-0.156189,0.207581,0.952271
32914157089,-0.163025,-0.157349,0.20752,0.951599
32914171364,-0.169617,-0.159485,0.207214,0.950134
32914194621,-0.174072,-0.160095,0.207397,0.949219
32914217017,-0.185974,-0.161011,0.209839,0.946289
32914231352,-0.207275,-0.157898,0.214539,0.941284
32914254562,-0.224304,-0.14856,0.21875,0.937927
32914277190,-0.238647,-0.13324,0.218872,0.936646
32914298165,-0.253662,-0.114929,0.216309,0.93573
32914314640,-0.251221,-0.0947266,0.20813,0.940491
32914337043,-0.24884,-0.0765381,0.201782,0.944153
32914358207,-0.244629,-0.0597534,0.195251,0.947815
32914382077,-0.230225,-0.0408325,0.188782,0.953735
32914397068,-0.217468,-0.0230713,0.182129,0.958618
32914418179,-0.211243,-0.00762939,0.177795,0.96106
32914434558,-0.209229,0.00549316,0.175903,0.961853
32914457022,-0.210266,0.0175171,0.173706,0.961914
32914478278,-0.207092,0.0304565,0.169434,0.963013
32914494522,-0.198853,0.0427246,0.164612,0.965149
32914517037,-0.188904,0.0525513,0.160278,0.967346
32914538055,-0.178467,0.0606079,0.15625,0.969543
32914554594,-0.174011,0.0646362,0.153442,0.97052
32914577049,-0.173157,0.0635986,0.151611,0.971069
32914598023,-0.171692,0.0629272,0.148438,0.971863
32914614479,-0.173523,0.0609131,0.146606,0.971924
32914637014,-0.176392,0.0592651,0.14563,0.97168
32914658015,-0.183228,0.0568237,0.145813,0.97052
32914674516,-0.190918,0.053772,0.147461,0.968933
32914697020,-0.19989,0.0501709,0.149475,0.967041
32914718077,-0.205811,0.0467529,0.151001,0.965698
32914734002,-0.209534,0.0437012,0.151733,0.964966
32914757056,-0.212036,0.0411987,0.152039,0.964478
32914778230,-0.213135,0.0392456,0.152954,0.964172
32914794553,-0.215637,0.0379028,0.153442,0.963562
32914816970,-0.218689,0.0369263,0.153992,0.96283
32914838226,-0.221741,0.0356445,0.155151,0.961975
32914853883,-0.223999,0.0345459,0.156982,0.961243
32914876999,-0.226929,0.03302,0.15863,0.960327
32914898175,-0.22998,0.0308838,0.159302,0.959534
32914913962,-0.231567,0.0282593,0.159546,0.959167
32914937130,-0.232483,0.0254517,0.160767,0.958862
32914959569,-0.232788,0.0221558,0.162354,0.958618
32914973917,-0.232056,0.0185547,0.164612,0.958496
32914997775,-0.23114,0.0144043,0.166992,0.958374
32915019464,-0.229309,0.00994873,0.169495,0.958435
32915033865,-0.228333,0.00457764,0.172363,0.958191
32915057071,-0.228027,-0.00146484,0.175232,0.957703
32915082454,-0.22821,-0.00805664,0.178528,0.957031
32915086758,-0.228821,-0.0151367,0.182312,0.956116
32915108994,-0.230164,-0.0227661,0.186462,0.954834
32915130758,-0.230652,-0.0351562,0.19104,0.95343
32915146457,-0.227783,-0.0525513,0.193909,0.952759
32915168846,-0.223267,-0.0673828,0.197144,0.952209
32915192224,-0.223816,-0.0772095,0.201477,0.950439
32915206401,-0.232971,-0.0852051,0.206787,0.946411
32915228920,-0.231079,-0.0998535,0.209229,0.944885
32915252629,-0.222107,-0.114136,0.210693,0.945068
32915266467,-0.219971,-0.122437,0.216248,0.943298
32915289015,-0.209595,-0.13446,0.215332,0.944214
32915312012,-0.197693,-0.140747,0.215149,0.945923
32915326513,-0.192871,-0.145386,0.2146,0.94635
32915348930,-0.187805,-0.149231,0.21405,0.946899
32915372210,-0.182129,-0.151367,0.214172,0.947632
32915386393,-0.176697,-0.152893,0.214844,0.948242
32915408965,-0.171997,-0.155579,0.215576,0.948486
32915432122,-0.175171,-0.153687,0.218262,0.947632
32915446535,-0.180603,-0.149536,0.220215,0.946838
32915470376,-0.174622,-0.155334,0.218506,0.947388
32915492515,-0.171814,-0.159119,0.217651,0.94751
32915506437,-0.174255,-0.156799,0.218323,0.947266
32915528973,-0.178406,-0.150879,0.219604,0.947144
32915552513,-0.182678,-0.143677,0.22113,0.947144
32915566429,-0.185669,-0.137207,0.222107,0.947266
32915588974,-0.186646,-0.13324,0.222473,0.947571
32915612107,-0.186523,-0.133118,0.221985,0.947693
32915625786,-0.183472,-0.136658,0.220642,0.94812
32915648345,-0.179138,-0.143188,0.218994,0.948364
32915662635,-0.174438,-0.151306,0.217163,0.948425
32915685799,-0.170593,-0.158508,0.215698,0.948242
32915708255,-0.168884,-0.162842,0.215027,0.947998
32915722607,-0.169312,-0.162903,0.215576,0.947754
32915745667,-0.171021,-0.16095,0.21637,0.947632
32915768306,-0.170105,-0.161804,0.216003,0.947693
32915782476,-0.169434,-0.161621,0.216125,0.947876
32915813919,-0.168945,-0.161682,0.21637,0.947876
32915820192,-0.168396,-0.161682,0.216675,0.947876
32915842605,-0.168091,-0.161804,0.216858,0.947876
32915865782,-0.167725,-0.161682,0.216919,0.947937
32915880089,-0.16748,-0.16156,0.21698,0.947998
32915902653,-0.167786,-0.161438,0.217041,0.947937
32915925908,-0.167969,-0.161194,0.21698,0.947998
32915940155,-0.168518,-0.160583,0.216919,0.947998
32915962750,-0.169739,-0.159851,0.216492,0.947998
32915985157,-0.172607,-0.158508,0.215881,0.947876
32916007486,-0.177673,-0.155518,0.215332,0.94751
32916022474,-0.183716,-0.149963,0.214478,0.947449
32916046539,-0.193848,-0.143677,0.212585,0.946838
32916070526,-0.205078,-0.13446,0.21051,0.946289
32916082486,-0.210327,-0.121094,0.208801,0.947327
32916104959,-0.203552,-0.101624,0.207397,0.951416
32916127681,-0.19281,-0.0802612,0.202759,0.956665
32916142542,-0.193298,-0.0623779,0.197754,0.958923
32916164967,-0.205444,-0.0487671,0.194031,0.957947
32916187668,-0.220154,-0.0363159,0.191101,0.955872
32916202544,-0.229187,-0.0232544,0.187622,0.954834
32916225163,-0.231201,-0.00970459,0.18219,0.955627
32916242900,-0.226074,0.00439453,0.175598,0.95813
32916262485,-0.217285,0.0180664,0.169312,0.961121
32916292654,-0.207642,0.0299683,0.165161,0.963684
32916302880,-0.20166,0.0388794,0.162964,0.964966
32916322627,-0.203674,0.043396,0.161682,0.9646
32916345160,-0.210754,0.0447388,0.162598,0.96283
32916362882,-0.219543,0.0441284,0.164978,0.96051
32916383979,-0.227966,0.043396,0.166748,0.958252
32916405000,-0.234375,0.0427856,0.16687,0.956726
32916423111,-0.23822,0.0418091,0.165405,0.956055
32916442489,-0.24115,0.0396118,0.162903,0.955872
32916465161,-0.239624,0.0384521,0.161987,0.956482
32916482945,-0.229431,0.0401001,0.16333,0.958618
32916504144,-0.22168,0.0413208,0.164612,0.960205
32916525052,-0.218811,0.0423584,0.164185,0.960876
32916542937,-0.217102,0.0436401,0.16272,0.961487
32916564044,-0.214172,0.0447998,0.163086,0.962036
32916585130,-0.216553,0.0448608,0.164612,0.961243
32916605798,-0.221191,0.045105,0.166138,0.9599
32916626814,-0.226562,0.0457153,0.167236,0.958435
32916645147,-0.232605,0.0474854,0.167114,0.956909
32916660003,-0.241577,0.0563965,0.165527,0.954468
32916682680,-0.238464,0.0558472,0.164062,0.955566
32916705011,-0.235168,0.0656128,0.163757,0.95575
32916720058,-0.233215,0.0713501,0.162842,0.955994
32916742667,-0.226868,0.0643311,0.161438,0.958252
32916765147,-0.226196,0.0643921,0.162964,0.958191
