timestamp,x,y,z
32796063474,0.25,0.0625,-0.0625
32796085928,0,0.1875,-0.0625
32796106977,0.1875,0,-0.125
32796123391,0.5625,0.6875,-0.0625
32796146005,-0.25,0.75,0
32796166963,1.3125,1,-0.125
32796183411,0.125,0.875,-0.125
32796205928,0.5,0,-0.3125
32796228539,0.1875,-0.9375,0.25
32796243372,0.625,-0.5625,0.375
32796266006,0.6875,-0.1875,0
32796288400,0.5625,-0.25,0
32796303534,0.1875,0.0625,-0.125
32796325882,-0.0625,-0.1875,0.4375
32796348461,-0.5625,-0.125,0.25
32796363375,-1.1875,-0.25,0
32796385952,0.1875,-0.3125,0.125
32796408394,0.8125,-0.125,0.125
32796422764,0.1875,-0.125,0.25
32796445899,0.3125,-0.4375,0.5
32796468387,-0.625,-0.0625,0.25
32796482694,-0.625,0,0.625
32796505902,0.375,0.3125,0.625
32796528412,-2,-0.25,1.1875
32796542743,-3.875,0.375,0.875
32796565869,-1.375,0.25,1.6875
32796588361,3.125,0.625,1.375
32796602783,3.4375,0.9375,0.875
32796625909,-1.75,0,0.125
32796648397,-5.6875,0.0625,-0.125
32796662711,-3.375,0,0.6875
32796685865,1.25,0.25,0.5
32796714461,0.8125,-0.0625,0.375
32796722746,0.25,-0.75,0.1875
32796745890,-0.875,-0.9375,0.5625
32796768397,-0.1875,-0.9375,0
32796789484,3.125,-0.625,-0.25
32796805886,3.0625,-1,0.0625
32796828409,0.1875,-1.0625,-0.3125
32796849461,-1.0625,-0.8125,-0.625
32796865966,-1.5,-0.5625,-0.1875
32796888442,-1.9375,0,-0.4375
32796909539,-0.5625,-0.4375,0
32796925933,0.375,-0.0625,-0.3125
32796948455,1,-0.1875,-0.125
32796969659,0,-0.75,0.375
32796985948,0.1875,-0.4375,-0.3125
32797008409,1.125,-0.0625,0.25
32797029494,0.25,0.125,-0.25
32797046001,0.5,-0.125,-0.125
32797068421,-0.6875,-0.0625,-0.1875
32797089557,-0.5,0,0.1875
32797105986,-0.0625,0.1875,-0.125
