timestamp,x,y,z
32728385921,0.214355,-0.319824,0.891602
32728402404,0.208496,-0.317383,0.887695
32728424858,0.194336,-0.354004,0.897461
32728447394,0.213867,-0.384277,0.893555
32728462378,0.260742,-0.30127,0.850098
32728484845,0.377441,-0.129883,0.873535
32728505890,-0.121094,-0.356934,0.866699
32728521700,0.239258,-0.388184,0.894531
32728544883,0.31543,-0.34082,0.896484
32728565941,0.171875,-0.32959,0.882812
32728582390,0.173828,-0.324219,0.894531
32728604883,0.206055,-0.323242,0.896484
32728625958,0.182617,-0.34375,0.901367
32728642423,0.213379,-0.32666,0.892578
32728664899,0.220215,-0.325195,0.884766
32728685881,0.219727,-0.330078,0.890625
32728702390,0.221191,-0.32959,0.883789
32728725338,0.211426,-0.32373,0.88623
32728747388,0.196777,-0.322754,0.888184
32728762417,0.200684,-0.31543,0.886719
32728784866,0.205078,-0.326172,0.890137
32728807381,0.205566,-0.324707,0.88916
32728828429,0.203613,-0.314941,0.889648
32728844909,0.212402,-0.325684,0.885742
32728867359,0.212891,-0.341309,0.890625
32728888458,0.222656,-0.352539,0.892578
32728904897,0.221191,-0.342285,0.887695
32728927461,0.211914,-0.328613,0.886719
32728941722,0.204102,-0.333984,0.895996
32728964922,0.198242,-0.340332,0.896973
32728987452,0.196777,-0.334473,0.892578
32729001764,0.205566,-0.32373,0.894043
32729024876,0.203613,-0.322754,0.894531
32729047453,0.209961,-0.325195,0.878418
32729061749,0.211426,-0.331055,0.896484
32729084913,0.222168,-0.306641,0.883301
32729108582,0.231934,-0.30957,0.885742
32729121753,0.221191,-0.320801,0.890625
32729144959,0.209473,-0.326172,0.893555
32729167397,0.200195,-0.31543,0.899414
32729181766,0.201172,-0.320312,0.888672
32729205081,0.206055,-0.318848,0.88623
32729233579,0.209961,-0.31543,0.88916
32729248438,0.222168,-0.307129,0.888184
32729264968,0.22168,-0.311523,0.887695
32729287466,0.220215,-0.311035,0.886719
32729308566,0.220703,-0.32373,0.892578
32729324955,0.220215,-0.339355,0.884277
32729347453,0.21582,-0.339844,0.893555
32729368503,0.211426,-0.336426,0.890137
32729385020,0.220703,-0.320801,0.887207
32729407443,0.206055,-0.320312,0.891602
32729428482,0.208496,-0.331055,0.894531
32729444904,0.206543,-0.326172,0.897461
32729467476,0.199707,-0.324219,0.896973
32729488438,0.199219,-0.325195,0.887695
32729504950,0.200684,-0.320312,0.894043
32729527472,0.206543,-0.330078,0.887207
32729556048,0.208008,-0.328125,0.886719
32729564968,0.204102,-0.321289,0.89209
32729587499,0.200684,-0.322266,0.89502
32729608779,0.202148,-0.316406,0.892578
32729624996,0.212402,-0.312988,0.884766
32729647449,0.208496,-0.324707,0.888672
32729668639,0.211914,-0.331055,0.884277
32729685053,0.219238,-0.333008,0.884766
32729707439,0.220215,-0.333008,0.884277
32729729912,0.21875,-0.337402,0.887695
32729744987,0.21875,-0.325195,0.892578
32729767486,0.210449,-0.321777,0.894531
32729790006,0.199707,-0.324707,0.891113
32729805013,0.210449,-0.337402,0.888184
32729833557,0.206543,-0.334961,0.895508
32729850003,0.209473,-0.324219,0.890625
32729864351,0.208008,-0.317383,0.893066
32729871906,0.200684,-0.319336,0.894531
32729892944,0.205078,-0.32666,0.888184
32729915516,0.200684,-0.325684,0.891113
32729933303,0.204102,-0.31543,0.889648
32729953024,0.20166,-0.311523,0.895996
32729975358,0.208008,-0.319824,0.884766
32729990441,0.212402,-0.314453,0.887695
32730012841,0.215332,-0.322754,0.888184
32730035334,0.220703,-0.325195,0.888672
32730050342,0.225098,-0.327637,0.882324
32730072950,0.224121,-0.332031,0.893555
32730095507,0.220215,-0.322754,0.881836
32730113337,0.214355,-0.328125,0.890625
32730132847,0.209961,-0.327148,0.890625
32730155505,0.205566,-0.330078,0.893555
32730170422,0.207031,-0.328125,0.89209
32730193095,0.20459,-0.330566,0.894043
32730215507,0.208496,-0.326172,0.898926
32730230535,0.205078,-0.330078,0.893066
32730252948,0.212402,-0.3125,0.897461
32730275552,0.194824,-0.304688,0.888184
32730291866,0.20166,-0.32373,0.877441
32730312985,0.212891,-0.345703,0.876953
32730335383,0.214844,-0.355957,0.881836
32730351814,0.205566,-0.336914,0.890137
32730372999,0.205078,-0.318848,0.89209
32730395476,0.212891,-0.32373,0.881836
32730411827,0.219727,-0.345703,0.879395
32730432974,0.225098,-0.351562,0.876953
32730455557,0.227051,-0.345703,0.879395
32730471872,0.229004,-0.333496,0.877441
32730492932,0.222656,-0.333496,0.88916
32730515513,0.213867,-0.333496,0.887207
32730533349,0.209473,-0.338867,0.889648
32730553029,0.201172,-0.336426,0.888184
32730575530,0.205078,-0.344238,0.889648
32730591849,0.20166,-0.336426,0.894043
32730612996,0.206055,-0.331543,0.883789
32730635511,0.208008,-0.328125,0.911133
32730653330,0.20166,-0.316406,0.878906
32730673033,0.200684,-0.330078,0.899902
32730695450,0.194336,-0.30957,0.889648
32730713364,0.199219,-0.30127,0.904297
32730732918,0.192383,-0.295898,0.889648
32730755386,0.208496,-0.32959,0.885742
32730773260,0.218262,-0.356934,0.875977
32730792912,0.21582,-0.353516,0.874023
32730815442,0.213379,-0.355469,0.888672
32730833416,0.211914,-0.324219,0.879395
32730853079,0.21582,-0.329102,0.879395
32730870935,0.222168,-0.351562,0.885742
32730893414,0.227051,-0.362305,0.883789
32730912949,0.21582,-0.352051,0.887207
32730930856,0.213867,-0.34082,0.894043
32730953456,0.210938,-0.326172,0.897949
32730972895,0.217285,-0.313965,0.897461
32730990845,0.211914,-0.314453,0.888184
32731013350,0.209473,-0.325195,0.891602
32731040519,0.212891,-0.344727,0.878906
32731050911,0.20459,-0.352539,0.885254
32731073366,0.202637,-0.339844,0.894531
32731092891,0.203613,-0.336914,0.882324
32731110821,0.208984,-0.337891,0.875977
32731133371,0.20752,-0.32959,0.88916
32731152957,0.202637,-0.315918,0.888184
32731170949,0.205078,-0.320801,0.891602
32731193346,0.210938,-0.316895,0.893066
32731212940,0.210449,-0.331055,0.877441
32731230935,0.214355,-0.346191,0.879395
