timestamp,x,y,z
32728385921,-0.9375,0.875,0.3125
32728402404,-0.625,1.4375,0.5625
32728424858,0.0625,2.75,4.5625
32728447394,7.625,4.6875,15
32728462378,21.5,-0.875,21.9375
32728484845,4.5,20,-12.8125
32728505890,-27.75,3.875,7.5
32728521700,-10.9375,-3.6875,-0.3125
32728544883,1.625,0,-1.8125
32728565941,1.8125,1.375,2.75
32728582390,0.8125,0.3125,-1.375
32728604883,-3.125,-0.5,0.75
32728625958,-4.625,-1.25,0.5625
32728642423,-0.5,-1.1875,-0.4375
32728664899,-0.4375,-1.0625,0.125
32728685881,-0.875,-0.9375,-0.375
32728702390,0.125,-0.3125,0.0625
32728725338,0.625,0.0625,0.1875
32728747388,-0.9375,-0.125,0.1875
32728762417,-2.375,-0.125,0.4375
32728784866,-1.125,0.375,1.3125
32728807381,0.375,0.3125,1.0625
32728828429,0.6875,0.375,0.9375
32728844909,-0.375,0.3125,1.8125
32728867359,-1.125,0.125,1.375
32728888458,1.1875,0.3125,0.8125
32728904897,3.5625,0.5625,0.4375
32728927461,2.6875,0.25,-0.0625
32728941722,0.6875,-0.1875,-0.5
32728964922,1,-0.3125,-0.8125
32728987452,1.3125,-0.125,-1.3125
32729001764,0,-0.125,-1.4375
32729024876,-0.8125,-0.375,-1
32729047453,0.0625,0.25,-0.875
32729061749,1.5625,0.5625,-0.875
32729084913,3.3125,0.5625,-0.6875
32729108582,3.5,0.9375,-0.4375
32729121753,3.5625,1.25,0
32729144959,2.875,0.5625,-0.125
32729167397,0.375,-0.0625,-0.75
32729181766,-2.875,-0.3125,0.1875
32729205081,-3,-0.3125,1
32729233579,-0.1875,0.3125,1.0625
32729248438,2.6875,0.9375,1.5
32729264968,2.625,0.75,1.625
32729287466,-0.4375,-0.0625,1.3125
32729308566,-4.1875,-0.625,1.125
32729324955,-4.3125,-0.25,0.625
32729347453,-2,0,-0.1875
32729368503,0.875,0.125,-0.625
32729385020,1.4375,0.1875,-1.3125
32729407443,-0.75,-0.1875,-1.375
32729428482,-1.8125,-0.3125,-1.3125
32729444904,-1.3125,-0.1875,-1.125
32729467476,-0.5,-0.25,-1.4375
32729488438,-0.4375,-0.125,-1.1875
32729504950,-0.625,-0.25,-1.0625
32729527472,-1.75,-0.3125,-1
32729556048,-1.4375,-0.1875,-0.6875
32729564968,-0.375,0,-0.3125
32729587499,-0.0625,0.25,0.1875
32729608779,1.0625,0.5,0.6875
32729624996,1.25,0.5625,1.125
32729647449,0.625,0.5,1.375
32729668639,-0.1875,0.1875,1.3125
32729685053,0,0.0625,0.8125
32729707439,0.4375,0.4375,0.9375
32729729912,1,0.3125,0.5625
32729744987,1.875,0.3125,-0.125
32729767486,1.375,0,0.25
32729790006,0.1875,-0.25,0.3125
32729805013,-0.1875,-0.375,-0.1875
32729833557,0.875,-0.125,-0.4375
32729850003,1.375,-0.0625,-0.4375
32729864351,0.5,-0.25,-0.125
32729871906,-0.1875,-0.375,0.0625
32729892944,-0.125,-0.3125,-0.25
32729915516,-0.4375,-0.125,0.125
32729933303,0.3125,0.0625,0.1875
32729953024,0.125,0.25,0.875
32729975358,0.125,0.125,1.3125
32729990441,1,0.1875,1.375
32730012841,0.25,0.3125,1.8125
32730035334,0.375,0.25,1.3125
32730050342,-0.0625,0.1875,0.9375
32730072950,-0.375,0.1875,0.5
32730095507,-0.375,-0.25,0.125
32730113337,-1.1875,-0.25,-0.4375
32730132847,-1.375,-0.125,-0.3125
32730155505,-0.9375,-0.375,-0.5625
32730170422,-0.875,-0.0625,-0.6875
32730193095,-1.0625,-0.4375,-1
32730215507,-0.375,-0.25,-0.875
32730230535,-0.5,-0.25,-0.6875
32730252948,-2.6875,-0.75,-0.25
32730275552,-6.875,-2,0.4375
32730291866,-12.9375,-3.125,0.3125
32730312985,-11.5,-2.125,0.25
32730335383,-2.625,0.25,0.75
32730351814,3.6875,1.1875,0.8125
32730372999,3.0625,0.625,0.9375
32730395476,0.0625,0.25,1.625
32730411827,-1.0625,-0.125,1.5625
32730432974,0.9375,0.1875,0.75
32730455557,2.8125,0.625,0
32730471872,3.0625,0.6875,-0.6875
32730492932,1.375,0.5625,-0.6875
32730515513,0,0.0625,-0.625
32730533349,0.375,0.3125,-0.625
32730553029,0.9375,0.375,-0.875
32730575530,2.1875,1.0625,-0.6875
32730591849,2.375,1,-0.8125
32730612996,1.625,0.8125,-0.1875
32730635511,2.125,2.375,-0.0625
32730653330,3.0625,2.5625,-1.375
32730673033,0.4375,1.625,-0.375
32730695450,2.3125,1.4375,0.3125
32730713364,-2.0625,0.8125,1.375
32730732918,-5.9375,-1.1875,2
32730755386,-9.1875,-1.125,1.0625
32730773260,-6.8125,-1.4375,2.25
32730792912,-1,-0.5625,2.625
32730815442,2.875,-0.125,2.1875
32730833416,4.75,-0.625,1.5625
32730853079,-0.875,-2.3125,0.625
32730870935,-2.625,-1.9375,0.5
32730893414,0.9375,-0.375,-0.1875
32730912949,3.375,0.5,-1
32730930856,3.9375,1.1875,-1.1875
32730953456,3.875,1.5625,-1.75
32730972895,2.1875,1.1875,-1.5
32730990845,-1.9375,0.5,-1.875
32731013350,-3.5625,0.125,-1.8125
32731040519,-5.4375,-1.25,-1.3125
32731050911,-1.625,-0.875,-1.4375
32731073366,2.9375,-1,-0.75
32731092891,0.6875,-1.5,-1.375
32731110821,-0.375,-1.6875,-0.8125
32731133371,2.25,-0.25,0.25
32731152957,1.0625,0.1875,0.0625
32731170949,1.5625,0.375,-0.0625
32731193346,0.875,0.5625,0.3125
32731212940,-3.1875,0.125,0.625
32731230935,-2.25,0.0625,0.5
32731253519,-1.25,0.1875,0.1875
32731274362,0.6875,0.6875,0.25
32731290877,3,0.1875,-0.125
32731313326,0.875,0.3125,-0.3125
32731334358,-1.625,-0.375,0.4375
32731350990,0,-0.125,0.3125
32731373550,0.6875,-0.1875,0.0625
32731394401,0.9375,-0.6875,-1.0625
32731410957,-0.375,-0.5,-0.625
32731432624,-1.8125,-0.5,-0.4375
32731453612,-0.25,-0.0625,-0.5
32731470053,1.875,-0.3125,-1.125
32731492562,2.0625,0.375,-0.875
32731513613,3.1875,0.9375,0
32731530098,8.125,1.625,-0.5
32731552601,4.0625,2.3125,-0.5625
32731573698,-1.5,0.75,0.5625
32731590059,-1.3125,0.9375,-0.1875
32731612649,1.8125,0.9375,0.625
32731634984,3.6875,1.3125,1.9375
32731650028,4.9375,1.3125,1.5
32731672585,5,1.375,0.625
32731695109,-0.8125,0.125,0.625
32731710093,-1.5,-0.1875,0.625
32731732549,-1.1875,-0.3125,-0.125
32731755027,0.625,-0.25,-0.375
32731776108,-0.625,0.0625,-0.125
32731792574,-1.9375,-0.5,-0.6875
32731815040,-1.375,-0.3125,-0.875
32731829397,-1.125,0.0625,-0.125
32731852599,0,0.125,-0.375
32731875043,-0.8125,-0.375,-1
32731889442,-2.625,-0.625,-0.6875
32731912631,-3.25,0.0625,-0.8125
32731935107,-4.5,0,0
32731949431,-2.375,1.0625,0.5625
32731972550,-1.875,1,1.5625
32731995083,1.1875,0.625,1.8125
32732009407,-1.5625,0.375,1.8125
32732032578,-4.3125,-0.25,3.75
32732055494,9.125,3.1875,3.125
32732069429,9,3.3125,-2.5625
32732092563,-7.25,-0.625,0.1875
32732115029,-6.5625,-2,3.75
32732136117,-11.3125,-0.25,3.3125
32732152576,-34.125,-2.4375,3.25
32732175117,-52.5625,-5.5625,6.375
32732196196,-70.5,-6.3125,8.5
32732212531,-81.0625,1.375,10.375
32732235139,-68.1875,22.6875,13.9375
32732256143,-42.0625,48.125,17.1875
32732272583,-16.8125,70.875,16.8125
32732295138,-30.6875,88.8125,32.1875
32732316095,-46.125,108.062,53.375
32732332628,-52.375,127.062,68.875
32732355043,-71.8125,142.125,85.25
32732376281,-91.5,153.25,96.1875
32732392615,-101.438,160.062,103.562
32732415080,-97.75,159.438,107.438
32732435887,-54.6875,153.062,85.9375
32732451866,5.375,155.562,69.375
32732475052,79.1875,151.875,47.5
32732496110,150.5,151,29.875
32732511925,163.625,140.062,13.25
32732542565,102.812,109.688,10.5
32732557539,36.875,84.125,12.125
32732571945,-14.5625,67.75,23.1875
32732595104,-62.6875,52.625,36.75
32732617591,-94.75,44.4375,37.125
32732631898,-89.3125,34.75,33.6875
32732655126,-57.875,25.6875,18.625
32732677588,-6.875,20.3125,-4.4375
32732691916,65.8125,17.25,-27.75
32732722596,120.875,10.1875,-45.125
32732737600,122.312,-9.875,-50.5625
32732751915,81.8125,-33.25,-50.125
