timestamp,roll,pitch,yaw
32912347239,-0.387995,-0.23249,0.4754
32912370006,-0.387995,-0.23249,0.4754
32912393003,-0.387995,-0.23249,0.4754
32912408648,-0.387637,-0.232588,0.475371
32912430133,-0.387095,-0.232572,0.475266
32912452863,-0.387056,-0.232453,0.47523
32912499532,-0.387493,-0.232634,0.475224
32912501443,-0.387493,-0.232634,0.475224
32912513640,-0.387493,-0.232634,0.475224
32912531605,-0.387493,-0.232634,0.475224
32912551530,-0.387493,-0.232634,0.475224
32912580708,-0.387619,-0.232608,0.475241
32912624824,-0.387619,-0.232608,0.475241
32912635105,-0.387493,-0.232634,0.475224
32912635743,-0.387493,-0.232634,0.475224
32912648722,-0.387493,-0.232634,0.475224
32912669952,-0.387493,-0.232634,0.475224
32912686308,-0.387493,-0.232634,0.475224
32912710450,-0.387619,-0.232608,0.475241
32912729877,-0.387619,-0.232608,0.475241
32912747909,-0.387619,-0.232608,0.475241
32912770456,-0.387619,-0.232608,0.475241
32912789931,-0.387619,-0.232608,0.475241
32912807909,-0.387493,-0.232634,0.475224
32912830413,-0.387493,-0.232634,0.475224
32912849917,-0.388181,-0.232723,0.475359
32912867919,-0.388181,-0.232723,0.475359
32912890334,-0.388181,-0.232723,0.475359
32912909986,-0.388288,-0.232677,0.475353
32912927869,-0.388181,-0.232723,0.475359
32912950465,-0.388162,-0.232703,0.475336
32912969847,-0.388181,-0.232723,0.475359
32912995454,-0.388181,-0.232723,0.475359
32913010346,-0.388162,-0.232703,0.475336
32913029901,-0.388288,-0.232677,0.475353
32913047769,-0.388327,-0.232797,0.475389
32913070342,-0.388327,-0.232797,0.475389
32913091467,-0.388327,-0.232797,0.475389
32913107957,-0.388327,-0.232797,0.475389
32913130453,-0.388327,-0.232797,0.475389
32913151248,-0.388327,-0.232797,0.475389
32913167749,-0.388288,-0.232677,0.475353
32913190454,-0.388327,-0.232797,0.475389
32913210638,-0.388327,-0.232797,0.475389
32913227114,-0.388327,-0.232797,0.475389
32913249521,-0.388327,-0.232797,0.475389
32913272131,-0.388327,-0.232797,0.475389
32913286977,-0.388327,-0.232797,0.475389
32913309579,-0.388994,-0.232746,0.475618
32913330514,-0.388994,-0.232746,0.475618
32913346945,-0.388994,-0.232746,0.475618
32913369633,-0.388994,-0.232746,0.475618
32913390691,-0.388994,-0.232746,0.475618
32913407050,-0.388994,-0.232746,0.475618
32913429551,-0.388994,-0.232746,0.475618
32913450698,-0.389033,-0.232866,0.475654
32913466949,-0.389033,-0.232866,0.475654
32913489491,-0.389033,-0.232866,0.475654
32913512023,-0.389159,-0.23284,0.475671
32913527089,-0.38912,-0.23272,0.475635
32913549464,-0.38912,-0.23272,0.475635
32913571927,-0.389159,-0.23284,0.475671
32913586961,-0.389159,-0.23284,0.475671
32913615489,-0.389285,-0.232814,0.475689
32913632011,-0.389285,-0.232814,0.475689
32913654526,-0.389285,-0.232814,0.475689
32913675592,-0.389141,-0.23286,0.475541
