timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
32728386677,-1,3,-9,-4,-2,-1,-2,0
32728386677,0,1,17,57,4,1,0,-1
32728401589,-2,-7,-21,-41,-8,-4,-2,2
32728401589,-1,0,2,-10,0,0,0,-4
32728403232,-1,-1,7,-6,-7,-3,-1,-2
32728403232,0,-6,-12,19,0,0,-1,3
32728424095,1,0,-3,9,2,2,1,-1
32728424095,1,-1,1,7,-4,-1,-2,2
32728425678,-1,2,3,24,2,1,0,3
32728425678,-2,-1,-19,-42,-3,-2,0,3
32728446624,-1,1,18,48,0,-1,-2,1
32728446624,-1,-2,-9,-39,2,1,0,3
32728448270,0,0,3,38,6,0,-1,0
32728448270,0,-1,7,-32,-9,-3,-3,1
32728461604,1,1,7,16,4,1,-2,2
32728461604,-6,-1,-9,-12,-6,-2,-1,-2
32728463244,7,-3,1,24,-1,1,-2,-1
32728463244,-1,-1,-9,-2,1,-1,-2,-2
32728484108,-2,-2,0,40,-1,-3,1,-4
32728484108,2,4,8,11,-3,-2,0,1
32728485710,-4,-5,-1,-62,-3,-1,-1,-2
32728485710,0,1,-18,4,-4,-2,0,-1
32728497694,0,5,1,-1,3,2,0,1
32728497694,1,0,-3,9,0,-2,-1,0
32728506728,-2,-4,-4,6,1,-1,-1,-1
32728506728,0,0,16,25,2,0,0,-2
32728520935,-1,-2,-5,-47,-8,-3,0,-1
32728520935,-2,-1,-19,-2,1,-1,0,-2
32728527714,1,1,14,0,1,0,1,0
32728527714,-2,2,-2,-10,-2,-1,0,-1
32728544106,0,1,0,63,5,0,1,-2
32728544106,0,-1,7,-64,-9,0,-1,-3
32728545685,0,-1,-2,27,1,-1,-1,-2
32728545685,-1,-1,2,-38,-1,-2,-1,-2
32728557717,3,2,6,17,0,-2,-2,-1
32728557717,-1,-2,-2,-7,0,-2,-1,-1
32728566723,-2,-1,1,-15,-3,-4,1,-1
32728566723,-2,-1,2,13,2,2,0,1
32728581576,-3,-3,-3,-20,-3,0,-3,-3
32728581576,0,-2,4,41,0,-1,-1,-2
32728583241,-1,-1,-9,-40,0,0,0,-2
32728583241,-2,-1,2,36,-2,-1,1,-2
32728604079,2,-2,-10,-55,-4,-1,0,0
32728604079,-1,-1,0,4,7,0,-2,0
32728605699,-1,0,3,26,2,-1,0,1
32728605699,3,2,6,3,2,0,-2,-3
32728617721,0,-6,-12,-24,-3,-3,-1,0
32728617721,2,-1,-3,6,-3,-3,-1,1
32728626740,1,0,-10,-16,-1,-2,-2,-1
32728626740,-3,0,12,21,-1,-2,0,1
32728641591,1,1,3,4,4,2,0,0
32728641591,-3,0,-2,2,-6,0,-2,0
32728643247,-5,-4,-2,27,-4,1,-1,0
32728643247,1,0,-3,-55,-4,1,1,0
32728664062,-3,0,0,42,0,0,0,1
32728664062,-3,2,0,14,4,2,1,0
32728665675,2,3,10,-1,0,0,2,0
32728665675,0,1,4,23,5,-1,0,-1
32728677739,-2,-3,-12,-22,-2,-5,-3,-2
32728677739,0,-1,22,26,1,0,-3,-3
32728686686,-3,-1,3,7,-6,0,-2,0
32728686686,-2,-2,-1,0,5,-1,0,-1
32728701585,3,2,-3,14,2,1,0,-1
32728701585,-1,1,-8,-44,-11,-2,-1,-1
32728703230,1,-1,1,-9,2,-2,-1,0
32728703230,2,-1,-8,14,-3,-3,-2,-2
32728724588,-2,-2,3,3,1,1,2,1
32728724588,0,-1,-14,-17,0,0,-1,0
32728726185,0,-2,-3,3,-4,-1,-1,-1
32728726185,0,0,0,19,3,-1,-2,-2
32728746633,-4,-2,1,-57,-6,-1,-1,-2
32728746633,2,-6,6,39,2,1,0,-1
32728748234,-1,2,-9,-22,2,-1,-1,-1
32728748234,-1,-4,-10,-15,3,0,1,0
32728761581,2,3,17,26,0,0,-1,1
32728761581,-2,-3,-13,-8,-3,-3,1,2
32728763238,1,0,0,8,1,-1,0,0
32728763238,-2,0,9,-18,-4,0,-3,-2
32728784074,0,1,0,-3,9,2,1,1
32728784074,-2,-2,5,21,-2,0,0,0
32728785644,-1,0,0,6,1,-1,-1,0
32728785644,2,1,-3,-12,-7,1,0,1
32728806595,-1,0,0,-20,-4,0,-2,-1
32728806595,0,1,0,-1,2,-1,-2,-1
32728808253,0,-3,-6,42,3,-1,-2,-2
32728808253,-3,1,7,-51,-11,-2,0,-1
32728820263,-2,-4,-9,13,1,-2,0,0
32728820263,-1,0,-5,-16,0,-3,-1,0
32728829227,1,0,2,18,-2,-1,0,1
32728829227,-1,-3,-7,11,2,-1,0,-1
32728844091,1,0,-10,-16,-5,-1,-1,0
32728844091,-1,1,-10,-10,3,1,0,1
32728845688,0,0,9,-25,3,1,0,-2
32728845688,0,-2,7,39,-5,0,-2,-1
32728866548,0,-2,-14,-38,7,1,-1,-1
32728866548,-1,-2,2,29,-1,-2,-1,-3
32728868253,0,-3,-7,-25,-3,-1,0,0
32728868253,0,2,5,28,3,2,-1,-1
32728881387,-4,0,6,-5,-8,-1,-1,-2
32728881387,0,1,0,10,-3,-1,-1,2
32728889263,-1,-1,-6,-20,-1,-1,-1,0
32728889263,-2,0,-4,-2,1,-1,0,2
32728904082,0,-2,4,22,-4,-1,-2,-1
32728904082,-2,-1,-9,-21,4,0,1,-1
32728905701,-3,-1,2,-1,-4,-3,-1,0
32728905701,0,-2,-2,-12,2,0,1,0
32728926609,1,-3,-4,8,-1,-1,0,-1
32728926609,-1,0,7,-15,-1,1,1,-1
32728928331,0,0,3,26,-3,0,-1,-1
32728928331,-2,-3,-11,-15,3,1,-2,-1
32728941029,-1,2,15,38,1,1,1,0
32728941029,-1,-2,-2,-38,-9,-2,-2,-2
32728947839,1,2,-5,26,-1,1,0,0
32728947839,0,0,-6,-19,0,-1,0,0
32728964141,-1,-1,4,19,2,-2,-2,2
32728964141,-1,-3,-2,5,-3,1,0,0
32728965878,-4,-2,-1,-23,6,1,-2,1
32728965878,3,0,-9,46,2,-3,-1,-1
32728986690,-3,-2,-5,-28,-6,-3,-2,-2
32728986690,0,0,14,-6,-1,-3,-1,-2
32728988406,0,0,1,-40,-4,-1,-1,1
32728988406,-3,0,1,45,1,0,-1,0
32729001035,1,-2,-17,-8,1,-2,0,0
32729001035,-1,2,-8,2,-1,-1,0,2
32729007879,0,0,8,26,2,1,1,0
32729007879,0,-3,1,-11,-4,-2,0,-1
32729024019,3,5,10,-25,1,1,1,-2
32729024019,-3,-3,-6,29,0,0,-3,0
32729025763,0,0,-5,-4,-4,0,0,-2
32729025763,2,0,-9,-24,-1,1,-2,0
32729046750,-2,-3,1,1,-3,0,-2,-1
32729046750,-1,1,4,-3,3,4,0,2
32729048399,0,-1,4,5,-2,-2,-1,1
32729048399,-2,-1,-2,-10,-3,-3,0,0
32729060947,2,1,-3,-31,7,2,1,1
32729060947,-1,0,8,5,2,-2,0,-2
32729067799,-2,-1,-2,-18,-8,-3,-1,-4
32729067799,-3,-2,-5,5,0,0,1,-2
32729084111,-1,-3,2,3,-7,-2,0,0
32729084111,0,0,-4,2,2,-1,0,0
32729085741,-1,0,12,-1,0,0,1,-3
32729085741,-1,-1,-3,-24,-2,-1,-1,-4
32729107370,-3,-1,-7,27,-1,0,1,-1
32729107370,-1,-2,-4,-14,-2,0,-3,-2
32729108944,-1,0,2,-3,-3,-3,0,-1
32729108944,-5,-5,7,17,3,0,-1,-1
32729120907,1,-2,-4,6,4,0,-2,0
32729120907,-1,-1,14,7,-2,-1,-2,-3
32729127734,1,-4,-14,-46,1,-1,-1,2
32729127734,0,-1,0,53,-4,-2,0,-2
32729144214,-1,-1,-2,-53,-4,0,0,0
32729144214,-1,-2,-1,40,-1,-1,0,0
32729145877,1,1,-12,-3,6,1,-2,1
32729145877,-1,0,5,-19,-3,-3,1,0
32729166599,-2,-3,5,30,-2,-2,-2,-3
32729166599,1,0,-16,-49,-1,-1,2,-2
32729168250,-4,-2,-6,20,2,-1,0,-2
32729168250,0,3,-3,35,4,0,0,-1
32729181050,-1,1,-1,-21,-4,-1,0,-1
32729181050,3,3,6,-14,-1,1,-1,3
32729187908,-1,-1,-3,-3,-7,0,0,1
32729187908,-1,-2,-2,-13,1,-1,-3,1
32729204157,-2,1,10,30,1,0,0,1
32729204157,-2,-3,-1,4,4,1,-1,-1
32729205780,0,2,-3,8,-1,0,-2,-1
32729205780,1,0,0,-25,-2,-1,0,2
32729225824,-2,0,-6,8,0,-2,0,-1
32729225824,1,2,5,5,-3,-4,0,-1
32729234265,1,0,-8,4,1,0,-1,-2
32729234265,0,-1,0,-14,-3,2,0,-1
32729240405,0,-1,-13,-26,2,0,-3,-1
32729240405,1,2,19,2,-2,0,-1,-2
32729249278,-2,-5,-1,11,-7,-2,0,-2
32729249278,-3,1,5,-7,5,-2,0,-3
32729264122,-1,-3,-5,-14,2,1,0,-1
32729264122,2,1,-1,33,-4,-3,-2,1
32729265737,-1,0,-4,-22,-2,0,1,0
32729265737,3,0,-6,-11,-3,-1,-2,-1
32729286639,-3,-5,-1,56,2,-1,-2,0
32729286639,-2,1,-11,-56,-2,-1,-2,-1
32729288394,-2,-8,15,55,2,-2,-1,0
32729288394,-2,3,-5,-64,-9,-2,0,1
32729300472,-1,-1,-3,4,-1,-1,-1,-3
32729300472,-1,0,5,27,-1,0,1,-1
32729309291,0,-1,-5,9,2,0,-2,1
32729309291,-1,-2,1,7,4,3,-1,0
32729324176,-3,-1,-4,-15,-4,-5,-2,-1
32729324176,-6,0,2,2,-2,1,0,-1
32729325767,7,3,0,-5,2,0,0,1
32729325767,-1,-4,-6,37,4,0,-1,-2
32729346761,2,2,6,-19,-5,0,1,1
32729346761,-1,-2,-21,-63,-1,-1,2,-2
32729348341,-4,-1,5,37,-5,-2,-1,-1
32729348341,-2,-4,-7,-14,-3,-1,-3,-2
32729360427,0,3,8,23,-2,2,0,1
32729360427,2,-2,-1,8,3,-2,-1,0
32729369265,1,2,0,-29,-3,-2,-1,0
32729369265,0,-1,-2,-55,-6,-2,-1,-2
32729384289,-3,0,12,71,7,0,-1,-1
32729384289,1,-2,-8,-11,3,-1,1,0
32729385846,1,0,-2,9,-2,-1,-1,-1
32729385846,-1,-1,-9,-19,-1,-2,1,2
32729406639,-2,0,12,-13,-3,-2,1,0
32729406639,-1,-3,-2,-2,-8,-1,-1,1
32729408296,-3,-2,-2,-6,4,1,1,-2
32729408296,3,3,3,-4,1,0,0,0
32729420403,1,-2,-8,1,-2,-1,1,1
32729420403,2,0,2,11,-1,-2,-2,-2
32729429386,-3,-4,-8,-24,-3,-1,-1,-3
32729429386,-2,-4,2,21,-2,-1,-2,-3
32729444154,1,0,-11,-14,-2,0,-1,0
32729444154,-1,2,26,44,-1,0,-1,-2
32729445687,0,1,-3,15,9,2,0,0
32729445687,0,0,-5,-16,-5,-3,2,1
32729466857,-1,-1,6,-40,-4,-2,-1,0
32729466857,-4,-2,-6,-5,2,-1,0,-1
32729468350,1,2,-1,21,1,0,0,1
32729468350,1,-1,7,38,2,0,1,-2
32729480299,1,-3,-10,-11,-2,-2,-1,-1
32729480299,1,-1,-18,0,0,-1,-1,-3
32729489241,-1,1,11,-28,2,0,0,-1
32729489241,1,-1,2,30,3,0,-2,-1
32729504210,-4,-2,-8,-21,-5,-3,0,0
32729504210,0,0,7,16,-1,2,1,2
32729505886,-2,0,-9,-51,-5,-3,-1,-3
32729505886,-2,0,5,2,1,2,-1,-3
32729526805,1,1,-3,12,0,-2,-2,-1
32729526805,2,2,-8,2,-2,-1,-2,-1
32729528366,0,-4,7,12,1,1,1,0
32729528366,-1,2,4,-17,-3,0,-1,3
32729540325,-4,-4,-16,-18,-2,-2,-1,-2
32729540325,-1,-2,5,19,2,-1,-1,-1
32729556785,-2,0,0,2,0,-3,0,0
32729556785,0,-2,4,9,4,0,0,0
32729564218,-2,-3,-6,20,1,1,-1,-1
32729564218,0,-1,-6,-32,-3,0,0,-1
32729565846,2,2,7,26,1,-1,0,0
32729565846,-1,-3,-8,-4,-5,-2,-1,-1
32729586765,2,1,6,9,0,0,1,2
32729586765,-2,-1,-14,-29,4,-1,1,1
32729588431,-1,2,1,-48,-6,-2,-2,-1
32729588431,-3,0,-4,37,-1,-2,0,0
32729600276,0,1,8,7,-2,-2,0,1
32729600276,0,-1,-2,-3,2,-2,-2,0
32729609318,-2,-1,3,10,0,0,0,0
32729609318,0,1,-11,-35,-2,-1,0,-1
32729624158,-3,-2,0,-2,-1,1,0,-4
32729624158,-2,0,5,16,-3,0,-1,-1
32729625782,-1,-1,-2,-13,-1,-1,-3,1
32729625782,-1,0,4,19,0,-1,-1,-1
32729646751,-1,2,0,1,-1,-2,-3,3
32729646751,-1,-2,-2,-9,1,0,-1,-2
32729648428,0,1,9,43,-2,-1,1,-1
32729648428,-3,1,-3,-79,0,1,-1,0
32729660396,1,1,-1,4,3,-3,0,-1
32729660396,1,-3,-4,10,-1,-2,0,1
32729669312,-1,-2,-2,-10,-1,0,-2,0
32729669312,-1,0,5,29,2,-1,0,0
32729684192,2,0,0,-5,0,1,0,-1
32729684192,1,-1,-1,-19,-5,-1,-2,0
32729685799,-1,0,-14,29,-2,-3,-1,-2
32729685799,-2,-2,26,12,7,1,0,-1
32729706811,-2,-2,-10,-35,-10,-3,1,0
32729706811,0,2,0,22,2,2,2,-1
32729708356,1,-1,-5,-9,0,1,-1,-1
32729708356,-1,-2,-3,46,-1,0,-1,-1
32729729123,-2,-4,-17,-67,-3,0,-2,-2
32729729123,0,-1,16,8,0,0,-1,3
32729730744,-3,-2,-10,-3,-1,-1,1,0
32729730744,0,2,-2,13,-4,-3,0,0
32729744281,2,0,7,25,4,0,-2,-1
32729744281,-2,-2,-18,19,-1,-3,0,-1
32729745803,0,-1,3,-59,-3,-1,-2,0
32729745803,0,0,-4,11,4,-2,-1,-2
32729766640,-3,-1,-5,19,0,1,0,-1
32729766640,-3,0,0,-8,-1,0,-2,0
32729768407,0,-3,5,3,-2,0,1,0
32729768407,0,-2,-1,-11,-4,-2,-2,1
32729789190,1,2,5,12,-3,1,1,0
32729789190,0,-2,-6,-5,-1,-1,0,0
32729790784,0,-2,-3,5,-1,-2,1,0
32729790784,0,1,2,-19,-3,1,-1,-2
32729804329,-2,-1,3,12,2,-2,-1,-2
32729804329,-1,0,3,-9,3,-3,-1,1
32729805868,-4,1,-16,-4,-4,-4,-1,-2
32729805868,-1,-3,13,22,-3,-4,-1,1
32729825724,2,1,6,-3,1,2,1,0
32729825724,-1,-2,-6,8,-1,-1,-2,-2
32729834298,-1,-4,5,3,2,0,1,1
32729834298,-1,1,-12,-17,-3,0,-1,1
32729849266,0,0,3,14,4,-2,-2,-2
32729849266,-1,0,-1,-7,-3,0,-1,-1
32729850889,1,0,-7,-2,1,3,1,-1
32729850889,-1,-2,-8,11,0,2,0,0
32729863588,0,3,11,-6,-4,0,0,-1
32729863588,-3,-3,3,29,2,0,-2,1
32729871006,0,1,5,1,-3,-4,-1,0
32729871006,0,-1,-5,-60,-1,-1,-1,-2
32729886132,-2,1,-1,6,-3,-2,-2,-2
32729886132,-1,-1,1,0,-1,1,2,0
32729886730,-4,-3,-2,12,2,0,-1,-1
32729886730,0,1,-1,5,-3,1,0,0
32729908698,1,-1,-4,13,2,0,1,1
32729908698,2,-1,-12,-19,-2,-2,2,-2
32729909322,-1,1,16,-11,3,1,0,0
32729909322,-1,-3,-12,17,0,1,1,-2
32729931802,-3,0,5,14,1,-2,0,-2
32729931802,-1,0,-2,2,0,1,-1,-1
32729932446,1,2,4,-2,0,-2,-2,-2
32729932446,2,0,-5,-13,-1,-1,-2,-1
32729946231,0,-1,-9,-5,-3,0,0,2
32729946231,1,0,14,10,0,-2,-2,0
32729946779,-1,0,4,12,9,0,-2,0
32729946779,-4,-2,-5,-14,-3,-3,0,-2
32729968602,0,-3,-8,22,3,1,0,0
32729968602,-4,0,19,-60,-2,0,-1,-1
32729969304,-4,-2,-15,28,-4,-2,-4,-2
32729969304,-1,1,6,13,1,1,1,0
32729983555,1,0,-3,-11,1,1,1,1
32729983555,1,1,-9,-2,0,-2,-2,-1
32729984292,2,-1,10,7,1,-1,-1,-1
32729984292,0,-1,-8,-17,-1,-1,0,-2
32730006040,-2,-3,-2,-5,0,0,0,0
32730006040,0,0,-2,17,-2,0,-1,0
32730007676,1,1,-1,-11,0,-3,-2,0
32730007676,-2,0,2,37,1,-2,-1,-1
32730028443,-1,-3,-10,-57,-5,-2,0,-2
32730028443,-1,-1,-5,-12,-1,-1,1,-1
32730029276,-1,-1,-8,20,-10,1,1,-1
32730029276,1,1,-1,7,1,-1,-3,1
32730043456,-1,-1,8,-2,1,0,-2,-1
32730043456,-2,-3,8,-17,-6,-3,-2,0
32730044308,-1,-1,0,-3,0,0,-2,-2
32730044308,-1,-2,0,-7,1,2,1,0
32730066123,-1,1,-1,19,0,-1,0,-1
32730066123,1,1,-4,1,1,0,1,0
32730066783,0,-2,-5,-12,-1,0,0,0
32730066783,-1,-3,-1,9,-3,-2,0,-1
32730088501,-2,2,4,-8,-2,-1,-1,-1
32730088501,0,1,-4,14,-4,-1,0,-1
32730089242,-4,1,3,11,-1,-3,1,1
32730089242,-1,-2,-7,-23,8,-1,1,0
32730111811,0,-3,-2,24,0,2,1,2
32730111811,-2,-1,-29,-26,2,-1,-1,-1
32730112513,0,-2,18,14,-10,-2,-1,0
32730112513,1,2,11,-1,-2,0,0,-1
32730125993,1,-1,-5,-12,2,0,1,-2
32730125993,2,-3,5,19,-2,-2,0,-1
32730126749,-1,1,-14,12,2,0,-1,-2
32730126749,-3,-1,18,-17,-2,-1,-2,-2
32730148538,-3,-2,-1,-1,1,0,0,0
32730148538,0,0,7,-7,4,-1,0,-1
32730149245,-1,0,-6,-12,-5,0,0,1
32730149245,-1,-1,-2,15,-2,-1,-1,0
32730163538,-2,1,-7,-10,-2,0,-1,-1
32730163538,0,0,3,19,-2,3,-1,-2
32730164296,0,1,2,-19,2,0,-2,0
32730164296,-2,1,-5,-10,1,-2,-1,-1
32730186085,-2,-1,7,6,1,-3,-1,0
32730186085,-2,-1,-2,11,-1,1,-1,1
32730186711,0,-1,5,-18,1,-1,-1,0
32730186711,1,0,-16,-27,-6,-1,0,-1
32730208582,-2,-2,14,31,3,1,-3,-2
32730208582,1,-1,7,14,2,0,0,-1
32730209295,-2,2,-3,-12,-9,-4,0,1
32730209295,0,-2,-4,2,3,-1,0,0
32730223502,-1,0,-6,0,-1,-1,0,0
32730223502,-2,-1,-1,-14,-1,-1,1,0
32730224281,-1,-1,-14,-29,5,0,-1,-2
32730224281,1,0,13,36,1,-1,0,-1
32730245984,-5,-5,-5,-12,-8,0,-2,-1
32730245984,-1,4,7,-12,6,0,-2,-1
32730246789,0,-3,-5,-4,-2,1,1,-3
32730246789,-1,1,1,5,-2,-2,0,1
32730268649,1,-1,-7,-11,0,-2,-1,-2
32730268649,-1,-3,6,-4,-2,-1,-1,-1
32730269302,-1,-1,-2,37,3,0,2,-1
32730269302,-1,-1,-2,-33,1,0,0,1
32730282959,-2,-3,-13,28,-5,-2,1,0
32730282959,-4,0,-5,-5,-1,-2,1,1
32730291113,1,-1,-1,-4,-2,0,0,0
32730291113,-1,-1,-1,-14,-1,0,-1,-1
32730306059,1,3,-1,48,5,0,-2,1
32730306059,-1,-1,5,-49,-8,-3,-2,-1
32730306827,0,-2,-1,2,2,0,1,-2
32730306827,-1,0,2,8,1,3,0,-1
32730328595,0,-1,-8,-5,3,-1,-1,0
32730328595,1,-2,-20,11,0,0,-3,-1
32730329307,-2,4,11,18,3,0,-3,-1
32730329307,-2,-3,-2,-6,-4,-2,1,-2
32730342975,1,-1,7,-20,-3,0,1,-1
32730342975,4,0,-3,17,-1,1,0,-3
32730351038,1,-1,8,11,2,-1,-2,-1
32730351038,0,-4,-14,-37,-14,-3,-1,0
32730366078,-1,2,8,6,-3,-3,1,-1
32730366078,-1,-1,1,11,-1,-1,-2,-1
32730366798,0,1,-7,-3,2,0,0,1
32730366798,-1,1,1,-3,3,0,-2,-1
32730388626,0,-2,7,9,-1,-1,1,-3
32730388626,-3,-1,-6,-6,0,-2,-1,-1
32730389312,-1,-3,-14,-11,0,0,1,-1
32730389312,0,2,8,18,2,-1,0,1
32730402895,-2,0,4,-31,-1,-1,0,1
32730402895,-1,-2,6,35,4,-1,0,-2
32730411158,-1,3,6,-1,-1,1,-1,1
32730411158,0,-4,-16,-54,-4,-2,-1,-1
32730426084,-2,1,-3,5,1,-1,-1,0
32730426084,2,0,-2,5,1,1,1,-2
32730426813,-1,0,5,27,-4,-2,1,-1
32730426813,-1,-1,14,21,9,1,0,-3
32730448587,-2,-3,-8,-16,-3,0,0,0
32730448587,-1,-2,-7,-17,0,-1,-1,-1
32730449293,0,0,-8,-1,-2,1,-1,-1
32730449293,0,3,6,16,1,1,-1,0
32730462940,0,3,19,-30,-3,-2,-1,0
32730462940,-2,5,-10,11,-2,-1,1,1
32730471054,1,-13,-2,34,4,-1,1,-1
32730471054,-2,2,-3,-56,-5,-3,0,0
32730485959,2,-2,-3,2,2,2,-2,-1
32730485959,-1,1,14,25,-2,1,-1,-1
32730486730,-1,-1,-6,10,1,-1,-2,0
32730486730,-1,-3,-1,0,-1,1,-1,-1
32730508504,-1,0,-15,-20,-5,-1,0,-2
32730508504,5,1,12,3,-6,-4,0,1
32730509365,-15,-1,1,-15,2,0,0,2
32730509365,2,0,-1,31,3,0,-3,0
