timestamp,x,y,z
32912347239,0.22998,-0.359863,0.883301
32912370006,0.222656,-0.359375,0.878906
32912393003,0.224609,-0.354492,0.864258
32912408648,0.230469,-0.362305,0.879883
32912430133,0.222168,-0.347168,0.871582
32912452863,0.221191,-0.353027,0.874023
32912499532,0.227051,-0.361816,0.876953
32912501443,0.219238,-0.349609,0.87207
32912513640,0.224121,-0.361816,0.876465
32912531605,0.224121,-0.356934,0.871094
32912551530,0.220703,-0.358398,0.874512
32912580708,0.224609,-0.358887,0.867188
32912624824,0.220703,-0.352539,0.870605
32912635105,0.225098,-0.353027,0.875488
32912635743,0.223145,-0.359375,0.876465
32912648722,0.224121,-0.355469,0.873535
32912669952,0.223145,-0.356934,0.869629
32912686308,0.22168,-0.357422,0.874512
32912710450,0.225586,-0.367676,0.873535
32912729877,0.226562,-0.358887,0.874023
32912747909,0.224121,-0.35498,0.875488
32912770456,0.220215,-0.351562,0.874023
32912789931,0.222656,-0.36084,0.87207
32912807909,0.227051,-0.347656,0.87207
32912830413,0.222168,-0.356934,0.870605
32912849917,0.22168,-0.361328,0.871582
32912867919,0.224121,-0.361816,0.875
32912890334,0.228027,-0.365723,0.87207
32912909986,0.224121,-0.365234,0.875977
32912927869,0.228516,-0.352539,0.878906
32912950465,0.22168,-0.355957,0.867676
32912969847,0.221191,-0.349121,0.87207
32912995454,0.222656,-0.355469,0.874023
32913010346,0.224609,-0.364258,0.865234
32913029901,0.222168,-0.362793,0.871094
32913047769,0.223633,-0.361328,0.870605
32913070342,0.226074,-0.36084,0.878418
32913091467,0.224121,-0.35498,0.873535
32913107957,0.225098,-0.359863,0.87207
32913130453,0.226074,-0.358887,0.871094
32913151248,0.221191,-0.354004,0.871582
32913167749,0.214355,-0.356445,0.874512
32913190454,0.227051,-0.359863,0.875977
32913210638,0.225098,-0.36084,0.874023
32913227114,0.229492,-0.367188,0.87793
32913249521,0.222168,-0.356445,0.870117
32913272131,0.224609,-0.361328,0.878906
32913286977,0.224609,-0.353516,0.874023
32913309579,0.21875,-0.363281,0.871582
32913330514,0.227051,-0.365723,0.880371
32913346945,0.226074,-0.355469,0.871094
32913369633,0.223633,-0.362305,0.874023
32913390691,0.226562,-0.355957,0.865234
32913407050,0.224121,-0.359863,0.873047
32913429551,0.225098,-0.361328,0.87207
32913450698,0.226074,-0.359863,0.871582
32913466949,0.223145,-0.355957,0.867676
32913489491,0.223633,-0.361328,0.873535
32913512023,0.222656,-0.364746,0.879395
32913527089,0.222168,-0.356445,0.873047
32913549464,0.223633,-0.36084,0.87207
32913571927,0.224609,-0.366699,0.873047
32913586961,0.226074,-0.366699,0.868164
32913615489,0.226562,-0.366211,0.868652
32913632011,0.221191,-0.360352,0.870605
32913654526,0.225098,-0.367188,0.875
32913675592,0.229004,-0.365723,0.874512
32913691991,0.220703,-0.350586,0.876953
32913714525,0.222168,-0.356934,0.875488
32913735633,0.224609,-0.359863,0.874023
32913752019,0.223145,-0.364258,0.877441
32913774548,0.227539,-0.359863,0.875
32913795734,0.227051,-0.357422,0.871582
32913812007,0.224609,-0.356445,0.869629
32913834493,0.224121,-0.358887,0.875488
32913855675,0.220703,-0.354492,0.876953
32913872050,0.227051,-0.361328,0.875
32913894565,0.225586,-0.362305,0.877441
32913915773,0.220703,-0.352539,0.874023
32913931998,0.22168,-0.352539,0.873047
32913954510,0.221191,-0.357422,0.874023
32913975677,0.222656,-0.36377,0.867676
32913992019,0.232422,-0.364258,0.876953
32914014454,0.223145,-0.347656,0.876953
32914036983,0.221191,-0.35498,0.875
32914052059,0.222656,-0.361328,0.875488
32914074546,0.226562,-0.359375,0.872559
32914097019,0.227051,-0.359863,0.877441
32914112074,0.223145,-0.368652,0.871582
32914134546,0.220703,-0.364746,0.876465
32914157089,0.21582,-0.393066,0.850586
32914171364,0.222656,-0.430176,0.887207
32914194621,0.304688,-0.260254,1.03223
32914217017,0.338379,-0.339355,1.15625
32914231352,0.458984,-0.45752,1.1167
32914254562,0.495117,-0.592773,1.19141
32914277190,0.241699,-0.365234,0.89209
32914298165,-0.141602,-0.676758,0.92041
32914314640,0.241211,-0.491699,0.782227
32914337043,0.147949,-0.40918,0.710449
32914358207,0.0620117,-0.59668,0.744629
32914382077,0.0532227,-0.540527,0.797363
32914397068,-0.0292969,-0.407227,0.785645
32914418179,-0.117676,-0.394043,0.793457
32914434558,-0.0883789,-0.370605,0.825684
32914457022,-0.108887,-0.447266,0.823242
32914478278,-0.186035,-0.441406,0.742676
32914494522,-0.249023,-0.307129,0.654297
32914517037,-0.276367,-0.272461,0.716309
32914538055,-0.283203,-0.20459,0.708008
32914554594,-0.388672,-0.0756836,0.748535
32914577049,-0.194336,-0.338379,0.86377
32914598023,-0.200195,-0.275879,0.89209
32914614479,-0.151855,-0.367676,0.927246
32914637014,-0.135254,-0.299805,0.883301
32914658015,-0.171875,-0.337402,0.889648
32914674516,-0.131836,-0.342773,0.857422
32914697020,-0.179688,-0.376465,0.850586
32914718077,-0.151367,-0.404785,0.897949
32914734002,-0.126953,-0.42041,0.89209
32914757056,-0.133301,-0.408691,0.901855
32914778230,-0.127441,-0.391602,0.903809
32914794553,-0.116211,-0.429199,0.869141
32914816970,-0.136719,-0.428711,0.869629
32914838226,-0.132812,-0.402832,0.852051
32914853883,-0.134766,-0.393555,0.86377
32914876999,-0.143555,-0.414551,0.854004
32914898175,-0.148438,-0.448242,0.828125
32914913962,-0.141113,-0.425781,0.809082
32914937130,-0.155273,-0.444336,0.813477
32914959569,-0.149414,-0.464355,0.82373
32914973917,-0.126953,-0.443359,0.84375
32914997775,-0.120117,-0.446289,0.837402
32915019464,-0.108887,-0.42334,0.84375
32915033865,-0.0996094,-0.40332,0.820312
32915057071,-0.0839844,-0.415039,0.834473
32915082454,-0.065918,-0.441895,0.844727
32915086758,-0.0537109,-0.430176,0.84082
32915108994,-0.0473633,-0.437988,0.829102
32915130758,0.241211,-0.353516,0.781738
32915146457,0.692871,-0.339844,1.27979
32915168846,0.500488,-0.280273,1.56592
32915192224,-0.0698242,-0.541992,1.12549
32915206401,-0.510254,-0.688965,-0.0444336
32915228920,0.32373,-0.309082,0.785156
32915252629,0.577637,-0.265137,1.76953
32915266467,0.0498047,-0.669922,1.03662
32915289015,0.442383,-0.496582,0.937012
32915312012,0.234375,-0.370117,0.956543
32915326513,0.189453,-0.459473,0.970215
32915348930,0.241699,-0.503418,0.965332
32915372210,0.199707,-0.434082,0.89502
32915386393,0.244629,-0.402344,0.911133
32915408965,0.462402,-0.342773,1.24707
32915432122,-0.22168,-0.472656,0.316895
32915446535,-0.416504,-0.582031,0.329102
32915470376,0.77002,-0.191406,1.0293
32915492515,0.632812,-0.382324,1.18848
32915506437,0.0161133,-0.532227,1.02832
32915528973,-0.377441,-0.544434,0.837402
32915552513,-0.533203,-0.52832,0.677246
32915566429,-0.48877,-0.453125,0.569824
32915588974,-0.287109,-0.320801,0.541992
32915612107,0.043457,-0.338379,0.57959
32915625786,0.426758,-0.231445,0.699707
32915648345,0.739258,-0.218262,0.871582
32915662635,0.923828,-0.248047,1.02734
32915685799,0.900391,-0.320801,1.14551
32915708255,0.681152,-0.424316,1.19775
32915722607,0.312012,-0.500488,1.13867
32915745667,0.0927734,-0.523926,1.04639
32915768306,0.411133,-0.388184,0.907227
32915782476,0.187988,-0.384766,0.881836
32915813919,0.205566,-0.376465,0.869629
32915820192,0.212402,-0.382812,0.870605
32915842605,0.215332,-0.380371,0.871094
32915865782,0.208496,-0.381348,0.868652
32915880089,0.219727,-0.375,0.878418
32915902653,0.208008,-0.374512,0.878418
32915925908,0.219727,-0.370117,0.881836
32915940155,0.215332,-0.357422,0.901367
32915962750,0.22998,-0.344727,0.931641
32915985157,0.259766,-0.370605,0.963867
32916007486,0.302734,-0.397461,1.01025
32916022474,0.277832,-0.32373,0.993652
32916046539,0.322754,-0.393555,1.02197
32916070526,0.242676,-0.583496,1.02051
32916082486,0.189453,-0.720703,0.996094
32916104959,0.154297,-0.506836,0.970703
32916127681,0.0991211,-0.265137,0.930664
32916142542,0.00683594,-0.203125,0.835449
32916164967,0.0200195,-0.345703,0.795898
32916187668,-0.0229492,-0.459961,0.789062
32916202544,-0.0444336,-0.512207,0.732422
32916225163,-0.0683594,-0.537598,0.696289
32916242900,-0.122559,-0.424316,0.708008
32916262485,-0.172363,-0.344727,0.725586
32916292654,-0.223145,-0.3125,0.792969
32916302880,-0.271484,-0.274902,0.819336
32916322627,-0.260254,-0.243652,0.760254
32916345160,-0.252441,-0.32959,0.830078
32916362882,-0.22168,-0.423828,0.830566
